Caja;REG;Caja_ID;GZ_ID;lat;lon;START_;END_;nota;tipo;Simbolo;Caja superior
Bocaneme;NGR;RCNGHOBN;5000228;;;1663;1703;;Corregimiento/Local;Subalterna;
Boza;NGR;RCNGSFBZ;5000058;;;1673;1738;;Corregimiento/Local;Subalterna;
Caxica;NGR;RCNGSFCX;5000365;;;1667;1681;;Corregimiento/Local;Subalterna;
Chita;NGR;RCNGSFCT;5000068;;;1667;1739;;Corregimiento/Local;Subalterna;
Chivata;NGR;RCNGSFCV;5000067;;;1669;1744;;Corregimiento/Local;Subalterna;
Coyaima;NGR;RCNGSFCY;5000244;;;1667;1749;;Corregimiento/Local;Subalterna;
Duitama;NGR;RCNGSFDU;5000504;;;1670;1745;;Corregimiento/Local;Subalterna;
Gameza;NGR;RCNGSFGA;5000467;;;1669;1729;;Corregimiento/Local;Subalterna;
Guamoco;NGR;RCNGMOGU;5000578;;;1619;1676;;Corregimiento/Local;Subalterna;
Guatavita;NGR;RCNGSFGU;5000334;;;1668;1752;;Corregimiento/Local;Subalterna;
Los Llanos;NGR;RCNGSFLL;5000028;;;1664;1748;;Corregimiento/Local;Subalterna;
Minas de Lajas;NGR;RCNGHOML;5000571;;;1667;1701;;Corregimiento/Local;Subalterna;
Muzos;NGR;RCNGHOMU;5000045;;;1595;1111;;Corregimiento/Local;Subalterna;
Neiva y Paeces;NGR;RCNGSFNE;5000010;;;1701;1738;;Corregimiento/Local;Subalterna;
Opón;NGR;RCNGHOOP;5000066;;;1756;1760;;Corregimiento/Local;Subalterna;
Paipa;NGR;RCNGSFPA;5000069;;;1667;1748;;Corregimiento/Local;Subalterna;
Pamplona;NGR;RCNGSFPP;5000016;;;1617;1631;;Corregimiento/Local;Subalterna;
Panches;NGR;RCNGHOPA;5000230;;;1111;1111;;Corregimiento/Local;Subalterna;
Pasca;NGR;RCNGSFPA;5000742;;;1669;1745;;Corregimiento/Local;Subalterna;
Sachica;NGR;RCNGSFSA;5000070;;;1669;1735;;Corregimiento/Local;Subalterna;
San Gil;NGR;RCNGSFSG;5000042;;;1684;1748;;Corregimiento/Local;Subalterna;
Servitá;NGR;RCNGSFSE;5000057;;;1709;1750;;Corregimiento/Local;Subalterna;
Sogamoso;NGR;RCNGSFSO;5000071;;;1671;1749;;Corregimiento/Local;Subalterna;
Tatama y Chami;NGR;RCNGSFTA;5000194;;;1726;1734;;Corregimiento/Local;Subalterna;
Tenza;NGR;RCNGSFTE;5000072;;;1671;1749;;Corregimiento/Local;Subalterna;
Turmequé;NGR;RCNGSFTU;5000073;;;1669;1729;;Corregimiento/Local;Subalterna;
Ubaque;NGR;RCNGSFUB;5000194;;;1665;1745;;Corregimiento/Local;Subalterna;
Velez;NGR;RCNGSFVE;5000066;;;1684;1748;;Corregimiento/Local;Subalterna;
Zaragoza;NGR;RCNGMOZA;5000023;;;1596;1683;;Corregimiento/Local;Subalterna;
Zipaquira;NGR;RCNGSFZI;5000063;;;1682;1735;;Corregimiento/Local;Subalterna;
Carabaya;CHA;RCCCCY00;8000041;;;1690;1796;Morales Padrón: 1721, pero hay cuentas desde 1690;Caja real;Principal;
Carangas;CHA;RCCCCG00;8000281;;;1652;1803;;Caja real;Principal;
Charcas;CHA;RCCCCT00;8000001;;;1578;1692;;Caja real;Principal;
Chucuito;CHA;RCCCCH00;8000018;;;1707;1802;;Caja real;Principal;
Mexico;NES;RCNEMX00;1000001;19,433786;-99,133134;1605;9999;;Tribunal de cuentas;Tribunal;
Guadalajara;GDJ;RCGDGU00;1000002;20,676143;-103,346998;1559;9999;;Caja real;Principal;
Chihuahua;GDJ;RCGDCH00;1000003;28,654323;-106,083947;1775;9999;;Caja real;Principal;
Durango;GDJ;RCGDDU00;1000004;24,02484;-104,66986;1599;9999;;Caja real;Principal;
Guanajuato;NES;RCNEGJ00;1000005;21,01661;-101,25272;1665;9999;;Caja real;Principal;
Santa Cruz de la Sierra;CHA;RCCCSC00;8000009;;;1789;1802;;Caja real;Principal;
Acapulco;NES;RCNEAC00;1000006;16,84865;-99,90849;1590;9999;;Caja real;Principal;
Concepción;CHL;RCCHCO00;7000002;-36,738907;-72,993604;1111;1111;Morales Padrón:  siglo XVI!;Caja real;Principal;
Pachuca;NES;RCNEPA00;1000007;20,121599;-98,733139;1667;9999;;Caja real;Principal;
Michoacán;NES;RCNEMI00;1000008;19,703889;-101,184722;1761;9999;;Caja real;Principal;
Oaxaca;NES;RCNEOA00;1000014;17,06971;-96,7189;1790;9999;;Caja real;Principal;
Alamos;GDJ;RCGDSINA;1000202;;;1770;1782;Morales Padrón: 1772?;Caja real;Principal;
Puebla;NES;RCNEPU00;1000015;19,04259;-98,19804;1787;9999;;Caja real;Principal;
San Luis Potosí;NES;RCNESL00;1000016;22,15153;-100,97581;1628;9999;;Caja real;Principal;
Arizpe;GDJ;RCGDAR00;1000017;30,336025;-110,166305;1781;9999;;Caja real;Principal;
Veracruz;NES;RCNEVE00;1000021;19,193327;-96,137751;1531;9999;;Caja real;Principal;
Mérida;NES;RCNEME00;1000022;20,966709;-89,623222;1540;9999;;Caja real;Principal;
Zacatecas;NES;RCNEZA00;1000024;22,7758;-102,57148;1544;9999;;Caja real;Principal;
Rosario;GDJ;RCGDSINA;1000210;;;1783;1806;;Caja real;Principal;
Saltillo;GDJ;RCGDSA00;1000042;25,42158;-100,99961;1794;9999;;Caja real;Principal;
Bolaños;GDJ;RCGDBO00;1000051;21,831101;-103,780998;1752;9999;;Caja real;Principal;
San Blas;GDJ;RCGDSB00;1000059;21,54114;-105,285294;1774;9999;;Caja real;Principal;
Acajutla;GUA;RCGUAC00;2000132;13,59439;-89,82776;1111;1111;Morales Padrón: siglo XVII;Caja real;Principal;
Cartago;GUA;RCGUCA00;2000010;9,86474;-83,92088;1111;1111;Morales Padrón: siglo XVII;Caja real;Principal;
Chiapa;GUA;RCGUCH00;2000042;;;1540;1543;;Caja real;Principal;
Chiapa;GUA;RCGUCH00;2000005;;;1544;1549;;Caja real;Principal;
